1000051517894740577 | A I6  99 1404                 
1000051517905502177 | A I6  99 1411                 
1000051517906207784 | A I6  110 Installation        
1000051517906255539 | A I6  110 1412                
1000051517906388019 | A I6  111 {Surface}           
1000051517906465569 | A I6  111 1413                
1000051517906660646 | A I5  102 1414                
1000051517908372043 | A I6  100 1418                
1000051517912036316 | A I5  102 1419                
1000051517980457051 | A I5  102 1421                
1000051517980510550 | A I6  100 1422                
1000051517980543884 | A I6  111 1423                
1000051517980581486 | A I6  104 1424                
1000051517981733425 | A I5  102 1425                
1000051517981818153 | A I5  102 1426                
1000051517981883003 | A I5  102 1427                
1000051517983998546 | A I5  113 Collapse            
1000051517990177683 | A K5  79 1319                 
1000051517990282556 | A K5  87 {No_Observation}     
1000051517990385320 | A K5  87 1324                 
1000051517990463919 | A K5  87 1333                 
1000051517990593547 | A K5  93 {No_Observation}     
1000051517990841833 | A K5  93 1346                 
1000051517990962391 | A K5  93 1350                 
1000051517991131866 | A K5  97 {No_Observation}     
1000051517991240997 | A K5  97 1359                 
1000051517991406202 | A K5  98 {No_Observation}     
1000051517991534151 | A K5  98 1365                 
1000051517991635052 | A K5  97 1364                 
1000051517991715007 | A K5  97 1368                 
1000051517991761189 | A K5  97 1372                 
1000051517991852001 | A K5  97 1381                 
1000051517991905909 | A K5  97 1389                 
1000051517992101307 | A K5  97 1400                 
1000051517992375944 | A K5  101 Wall                
1000051517992734748 | A K5  108 Wall                
1000051517993844607 | A K5  97 1409                 
1000051517993919907 | A K5  109 {No_Observation}    
1000051517994015075 | A K5  109 1410                
1000051517994073624 | A K5  109 1417                
1000051517995020099 | A I6  114 {Fill}              
1000051517995237541 | A I5  102 1429                
1000051517995339598 | A I5  113 1432                
1000051517995380641 | A I6  111 1433                
1000051517995496527 | A I5  102 1439                
1000051517995557306 | A I5  102 1440                
1000051517996450228 | A I5  102 1443                
1000051517996904842 | A K5  116 {No_Observation}    
1000051517997090282 | A K5  109 1428                
1000051517997167987 | A K5  109 1434                
1000051517997640217 | A K5  116 1436                
1000051517997664673 | A K5  116 1437                
1000051518068990608 | A I5  102 1451                
1000051518072986882 | A L5  79                      
1000051518073050698 | A L5  79 1302                 
1000051518075545301 | A L5  80 1323                 
1000051518080576759 | A I5  126 Debris              
1000051518086730967 | A L5  92                      
1000051518086820101 | A L5  92 1341                 
1000051518086914174 | A L5  92 1343                 
1000051518086996532 | A L5  92 1342                 
1000051518087065329 | A L5  92 1352                 
1000051518087114225 | A L5  95                      
1000051518088056178 | A I5  131 {Pit}               
1000051518088241032 | A I5  133 Debris              
